      3 Bythell, Duncan
      1 Cadoux, T. J.
      1 Cadwallader, F.J.J.
      2 Cain, P.J.
      2 Caird, J.B.
      1 Cairncross, Alec
      1 Calder, A.L.R.
      1 Caldwell, J.A.
      1 Caldwell, John
      1 Caldwell, John A.
      3 Callaghan, John
      1 Callaghan, J.T.
      3 Calvert, P.A.R.
      1 Cameron, A.
      1 Cameron, A. D.
      1 Cameron, Averill M.
      3 Cameron, Averil M.
      2 Cameron, Euan K.
      3 Cameron, Ewen A.
      2 Cameron, J.
      1 Cameron, J. K.
     14 Cameron, J.K.
      3 Cameron, K.
      1 Cammack, P.A.
      7 Campbell, A.E.
      2 Campbell, Alan B.
      1 Campbell, B.M.S.
      2 Campbell, Bruce M.S.
      1 Campbell, Eila   M.J.
      1 Campbell, Eila M. J.
      7 Campbell, Eila M.J.
      1 Campbell, Euan
      2 Campbell, I.L.
      1 Campbell, I. M.
     10 Campbell, J.
      1 Campbell, James
      2 Campbell, J. Brian
     11 Campbell, J.K.
      1 Campbell, John K.
      1 Campbell, Peter R.
      2 Campbell, P.R.
     10 Campbell, R.H.
      2 Cannadine, D.N.
      7 Cannon, J.A.
      1 Cannon, Joanna L.
      3 Canny, Nicholas
      1 Cantor, L.M.
      4 Cant, R.G.
      1 Capern, Amanda L.
      4 Caplan, Jane
      1 Caplan, L.
      2 Capp, B.C.
      3 Capp, Bernard
      6 Capp, Bernard S.
      2 Capp, B.S.
      2 Carabott, Philip J.
      3 Carden-Coyne, Ana
      3 Cardwell, D.S.L.
      1 Carey, J.
      1 Carey, P.B.R.
      1 Carey, Peter B.
      3 Carey, Peter B.R.
      1 Carlebach, J.I.
      1 Carl, P.
     20 Carpenter, David A.
      9 Carpenter, M. Christine
      2 Carr, A.D.
     15 Carr, A.R.M.
      1 Carr, E. H.
      1 Carr, E.H.
      1 Carrier, J.W.
      4 Carr, W.
      1 Carson, R. A.
     11 Carsten, F.L.
      1 Carter, Alice M.C.
      1 Carter, H.
      3 Carter, Harold
      2 Carter, Jennifer J.
      1 Carter, Neil
      1 Carter, Nicholas E.
      7 Carter, Tim
      7 Cartledge, P.A.
      3 Cartledge, Paul A.
      1 Cartlidge, Neil
      1 Carus-Wilson, Eleanora M.
      2 Carver, Martin O.H.
      1 Carwardine, Richard
      1 Carwardine, Richard J.
      1 Carwardine, R.J.
      3 Casey, J.G.
      1 Casey, P.J.
      3 Casey, Steven
      2 Cass, Peter
      1 Caster, D.J.
      4 Catterall, Peter P.
     11 Catto, R.J.A.I.
      5 Caunce, Stephen
      5 Cavallo, Sandra
      1 Cave, R.A.
      1 Cawkwell, G.L.
      1 Cawley, A. C.
      1 Cawson, A.
      3 Caygill, Howard
      4 Ceadel, Martin E.
      7 Ceadel, M.E.
      4 Cecil, H.P.
      2 Cecil, Hugh P.
      1 Celoria, F.
      8 Cesarani, David
      3 Ceserani, David
      1 Chabrowski, Igor
      4 Chadwick, H.
      2 Chadwick, W.O.
      1 Chalcraft, John
      7 Chalklin, C.W.
      2 Challis, C.E.
      1 Challis, Christopher E.
     12 Chaloner, W.H.
      2 Chalus, Elaine
      1 Chamberlain, Mary C.
     11 Chamberlain, Muriel E.
      1 Chambers, David S.
      2 Chambers, D. S.
     14 Chambers, D.S.
      2 Chambers, Liam
      1 Champion, Justin
      8 Champion, Justin A.I.
      6 Champ, Judith F.
      5 Chandarvarkar, Raj S.
      2 Chandarvarkar, R.S.
      2 Chandavarkar, Rajnarayan S.
      5 Chandavarkar, R.S.
      1 Chandler, Andrew M.
      1 Chaney, E.P. de G.
      1 Channon, G.
      1 Channon, Geoffrey
      6 Chant, Colin W.
      1 Chant, C.W.
      1 Chaplais, Pierre T.V.M.
      2 Chaplais, P.T.V.M.
      1 Chapman, James
      1 Chapman, John
      2 Chapman, Mark D.
      1 Chapman, M.K.
     11 Chapman, S.D.
      4 Chapman, Stanley D.
      1 Chapmen, J.
      2 Charles-Edwards, Thomas
      2 Charles-Edwards, Thomas M.O.
      1 Charles-Edwards, T.M
      4 Charles-Edwards, T.M.
      2 Charles-Edwards, T.M.O.
      3 Charlesworth, A.
      1 Charlesworth, N.R.F.
      1 Charlton, David
     17 Charlton, K.
      1 Charmley, J.D.
      1 Charmley, J.G.
      3 Charmley, John D.
      1 Charney, Michael
      7 Charters, Erica
      4 Chartres, J.A.
     12 Chartres, John A.
      1 Chase, Malcolm
      6 Chase, Malcolm S.
      1 Chase, R.
      2 Chatterji, Joya
